0.009582
0.009582
0(378467)::	9:0.018546	7:0.009790	
130(469765)::	6:0.017582	
131(349472)::	6:0.084385	
132(284095)::	6:0.246193	
133(528428)::	6:0.313984	
134(469768)::	6:0.017441	
135(498602)::	4:0.032118	
136(378130)::	4:0.026713	
137(446395)::	4:0.031994	
138(224418)::	4:0.026621	
139(34131)::	4:0.042917	
140(139017)::	4:0.064163	
141(367203)::	4:0.064382	
142(235388)::	9:0.004697	
143(471589)::	9:0.119563	
144(300254)::	9:0.017729	
145(515362)::	8:0.007853	9:0.003814	
146(228102)::	9:0.052419	
147(170643)::	9:0.010687	
148(334854)::	9:0.042647	
149(232170)::	6:0.017327	
150(57790)::	6:0.047878	
151(416498)::	6:0.024869	
152(476727)::	6:0.115403	
153(232176)::	6:0.017343	
154(413921)::	11:0.029366	
155(542083)::	11:0.068807	
156(530708)::	11:0.078666	
157(413927)::	11:0.078806	
158(243529)::	9:0.057394	
159(251191)::	9:0.101232	
160(356325)::	9:0.019127	8:0.004137	
161(314704)::	9:0.047537	
162(118150)::	9:0.018868	
163(354236)::	9:0.023562	
164(137865)::	9:0.018873	
165(541067)::	9:0.032908	
166(118189)::	9:0.013940	
167(527832)::	9:0.023987	
168(65677)::	9:0.013756	
169(341673)::	9:0.013886	
170(9039)::	9:0.023625	
171(413925)::	7:0.025657	
172(459954)::	7:0.046578	
173(129292)::	7:0.036184	
174(78420)::	7:0.041406	
175(390206)::	7:0.025602	
176(390203)::	7:0.036135	
177(350932)::	11:0.028867	
178(158492)::	11:0.219071	
179(158531)::	11:0.168612	
180(33519)::	11:0.099146	
181(388378)::	11:0.038844	
182(102412)::	11:0.019547	
183(235272)::	11:0.258793	
184(413926)::	11:0.049209	
185(413929)::	11:0.058965	
186(413932)::	11:0.188443	
187(485050)::	11:0.029183	
188(461677)::	11:0.652649	
189(60508)::	11:0.088717	
190(44443)::	11:0.039300	
191(76539)::	7:0.062059	11:0.019294	
192(120306)::	11:0.038969	
193(311176)::	
194(380036)::	8:0.003264	
195(149901)::	
196(173159)::	4:0.032117	
197(179380)::	4:0.026442	
198(190626)::	4:0.026667	
199(103030)::	4:0.085895	
200(523771)::	4:0.032139	
201(426176)::	4:0.064688	
202(264861)::	4:0.036631	
203(46130)::	4:0.283697	
204(525901)::	4:0.048303	
205(98886)::	9:0.019789	4:0.019881	
206(208858)::	4:0.032442	
207(241447)::	4:0.021531	
208(507221)::	4:0.026963	
209(303766)::	4:0.059410	
210(3499)::	4:0.305045	
211(290763)::	4:0.152114	
212(394533)::	9:0.004192	4:0.005370	
213(532930)::	4:0.080781	
214(532913)::	4:0.037688	
215(149876)::	4:0.017101	9:0.037183	
216(168183)::	4:0.021420	
217(523108)::	4:0.030821	
218(394843)::	4:0.032441	
219(458771)::	4:0.026856	
220(170132)::	4:0.005370	
221(521000)::	4:0.026990	
222(207894)::	4:0.020550	
223(450174)::	9:0.009518	4:0.026351	
224(175524)::	4:0.016180	
225(520596)::	4:0.027130	
226(527143)::	4:0.032400	
227(186510)::	4:0.021593	
228(429734)::	11:0.000307	3:0.027446	4:0.223239	
229(536375)::	4:0.027097	
230(62967)::	4:0.168568	
231(113360)::	4:0.031990	
232(374104)::	8:0.007528	3:0.005090	4:0.006749	
233(118815)::	4:0.026846	
234(374143)::	4:0.026887	
235(9520)::	4:0.031144	
236(374144)::	4:0.031799	
237(29950)::	4:0.026861	
238(278352)::	8:0.005275	4:0.024999	
239(360287)::	4:0.016006	
240(139414)::	4:0.021423	
241(468778)::	4:0.079666	9:0.014329	
242(47979)::	9:0.004684	4:0.021468	
243(314202)::	4:0.005637	9:0.028161	
244(78416)::	4:0.005590	9:0.076970	
245(474256)::	9:0.014735	4:0.015319	
246(456077)::	4:0.037203	
247(3501)::	4:0.027046	
248(374536)::	4:0.130086	
249(466324)::	4:0.026637	9:0.009346	
250(392777)::	4:0.027121	
251(521652)::	4:0.053406	
252(133415)::	4:0.026901	
253(64872)::	8:0.005695	4:0.061863	
254(463677)::	4:0.015900	9:0.009349	
255(26227)::	8:0.003747	4:0.009106	9:0.015529	
256(279501)::	8:0.016741	6:0.004153	
257(236897)::	9:0.004531	8:0.008081	
258(326268)::	8:0.030265	
259(528151)::	6:0.057042	
260(539299)::	8:0.012695	
261(528967)::	8:0.030036	
262(279500)::	8:0.004454	9:0.008263	
263(530554)::	9:0.020191	8:0.002725	
264(279083)::	9:0.013419	
265(448845)::	8:0.056939	
266(545073)::	6:0.016620	
267(547479)::	6:0.016611	
268(546425)::	6:0.012327	
269(546241)::	6:0.016880	
270(328002)::	6:0.012716	
271(97157)::	3:0.004634	
272(130495)::	3:0.025674	
273(97156)::	4:0.009975	
274(235476)::	4:0.020772	
275(235478)::	4:0.020713	
276(332600)::	8:0.026226	
277(180069)::	8:0.057033	
278(461678)::	8:0.008545	
279(201980)::	8:0.017255	
280(178432)::	8:0.048667	
281(21075)::	8:0.102433	
282(215916)::	8:0.093444	
283(322906)::	6:0.012548	
284(527565)::	6:0.030384	
285(466998)::	6:0.012549	
286(476720)::	6:0.030558	
287(322904)::	6:0.026357	
288(267081)::	6:0.030810	
289(161954)::	6:0.044202	
290(271216)::	6:0.026207	
291(60232)::	6:0.021490	
292(90378)::	6:0.043788	
293(356119)::	6:0.093121	
294(534913)::	
295(280690)::	
296(191464)::	3:0.014712	
297(67898)::	3:0.014826	
298(136519)::	3:0.009629	
299(458221)::	3:0.020162	
300(102814)::	11:0.029077	
301(50404)::	11:0.118295	
302(369826)::	11:0.019061	
303(91581)::	11:0.038655	
304(194082)::	9:0.013977	
305(327760)::	9:0.042969	
306(500120)::	9:0.028253	
307(312781)::	9:0.028347	
308(195511)::	6:0.026394	
309(523731)::	6:0.034689	
310(265567)::	6:0.044012	
311(396392)::	6:0.039556	
312(38027)::	6:0.044093	
313(251266)::	6:0.026317	
314(106252)::	6:0.052630	
315(195513)::	6:0.022056	
316(317627)::	6:0.039024	
317(527464)::	6:0.075234	
318(524805)::	6:0.093596	
319(525220)::	6:0.065855	
320(126710)::	6:0.039519	
321(286230)::	8:0.000890	
322(180959)::	8:0.005123	
323(19974)::	
324(151952)::	
325(490056)::	
326(252481)::	
327(346886)::	
328(242840)::	
329(116311)::	6:0.003841	
330(16704)::	8:0.022129	
331(413098)::	8:0.071185	
332(210200)::	8:0.138502	
333(505103)::	8:0.035436	
334(132678)::	9:0.011583	8:0.050909	
335(442584)::	8:0.053193	
336(323052)::	6:0.011831	
337(14318)::	6:0.008080	
338(119635)::	6:0.008134	
339(198697)::	6:0.042642	
340(88020)::	8:0.012526	
341(276934)::	8:0.011042	3:0.015526	
342(164571)::	8:0.025141	
343(522547)::	8:0.039156	
344(64677)::	3:0.036753	
345(243417)::	3:0.047448	
346(19609)::	3:0.026287	
347(490743)::	3:0.036809	
348(24560)::	3:0.015645	
349(522665)::	3:0.015595	
350(418590)::	3:0.026258	
351(457947)::	3:0.036875	
352(100011)::	9:0.009103	
353(51312)::	9:0.096185	
354(493539)::	9:0.017438	
355(499145)::	3:0.020853	
356(173659)::	3:0.068842	
357(336802)::	3:0.031534	
358(411788)::	3:0.036482	
359(429211)::	3:0.020933	
360(119867)::	9:0.018795	
361(249209)::	9:0.022715	
362(481030)::	9:0.032821	
363(460082)::	9:0.023613	
364(16931)::	9:0.062328	
365(119866)::	8:0.002857	
366(208105)::	8:0.011254	
367(375764)::	3:0.020795	
368(327317)::	3:0.015304	
369(337108)::	3:0.095908	
370(478347)::	3:0.031016	
371(423505)::	3:0.036920	
372(119862)::	9:0.008325	8:0.013775	
373(389080)::	8:0.061963	
374(237213)::	8:0.005489	9:0.021830	
375(210968)::	8:0.029677	9:0.004881	
376(243389)::	8:0.021848	
377(211664)::	9:0.071971	
378(362382)::	7:0.062177	
379(455491)::	7:0.030879	
380(477821)::	7:0.020540	
381(19416)::	7:0.025603	
382(78475)::	7:0.041284	
383(361357)::	7:0.030897	
384(150858)::	7:0.030877	
385(122530)::	7:0.030724	
386(170262)::	7:0.020422	
387(512919)::	7:0.041288	
388(258699)::	7:0.025702	
389(505967)::	7:0.025540	
390(221781)::	7:0.020355	
391(375765)::	6:0.016398	
392(157495)::	6:0.015860	
393(472850)::	6:0.017292	
394(427824)::	6:0.007813	
395(114160)::	6:0.012278	
396(510589)::	9:0.052832	
397(525333)::	9:0.033397	
398(282971)::	9:0.048064	
399(68025)::	9:0.023916	
400(510587)::	9:0.023894	
401(510590)::	9:0.071830	
402(116423)::	9:0.023821	
403(37982)::	9:0.019082	
404(485587)::	9:0.057365	
405(62662)::	9:0.018984	
406(282974)::	9:0.062463	
407(283019)::	9:0.057425	
408(494315)::	6:0.007688	
409(494319)::	6:0.007622	
410(223554)::	6:0.052397	
411(510585)::	11:0.038757	
412(223836)::	11:0.137003	
413(326576)::	11:0.029347	
414(336578)::	11:0.028580	
415(245969)::	11:0.029061	
416(367152)::	3:0.025771	
417(221078)::	3:0.025593	
418(66669)::	3:0.041266	
419(283909)::	3:0.020829	
420(292401)::	3:0.010127	
421(207141)::	3:0.015432	
422(95792)::	8:0.052904	
423(5308)::	8:0.008237	
424(422191)::	8:0.017658	
425(144450)::	8:0.013194	
426(522546)::	8:0.039562	
427(328015)::	8:0.026128	
428(445493)::	8:0.066203	
429(41029)::	8:0.008386	
430(297108)::	8:0.013058	
431(91340)::	8:0.116282	
432(158593)::	8:0.039715	
433(486392)::	8:0.074847	
434(487947)::	8:0.012258	
435(95791)::	8:0.008450	
436(462166)::	8:0.021456	
437(144452)::	8:0.083486	
438(149147)::	6:0.012207	
439(35562)::	6:0.025646	
440(280281)::	6:0.012402	
441(192703)::	6:0.012331	
442(149145)::	7:0.020112	
443(171543)::	7:0.025246	
444(149139)::	7:0.025232	
445(149143)::	7:0.020115	
446(149144)::	7:0.020115	
447(46790)::	9:0.012765	
448(451289)::	9:0.025093	7:0.013357	
449(323468)::	9:0.079500	4:0.012015	
450(76605)::	9:0.003412	
451(49568)::	7:0.008756	
452(49564)::	7:0.008756	
453(72020)::	7:0.013629	
454(489780)::	11:0.011354	7:0.050664	
455(41195)::	7:0.062021	
456(514460)::	11:0.028845	
457(355223)::	7:0.056745	
458(33726)::	7:0.023914	11:0.012678	
459(541223)::	7:0.020583	
460(283741)::	7:0.040294	11:0.011278	
461(261585)::	7:0.020562	
462(41189)::	7:0.025818	
463(8931)::	7:0.041359	
464(217780)::	11:0.011195	7:0.050828	
465(543678)::	7:0.020583	
466(489781)::	3:0.026390	
467(205696)::	3:0.037003	
468(24484)::	3:0.047618	
469(424909)::	3:0.063616	
470(175369)::	3:0.063623	
471(449723)::	3:0.036921	
472(21614)::	4:0.081008	
473(66923)::	4:0.064694	
474(116085)::	4:0.053813	
475(220514)::	4:0.021187	
476(486759)::	4:0.032243	
477(245217)::	4:0.021031	
478(516774)::	4:0.026814	
479(522368)::	4:0.052753	
480(127531)::	3:0.004731	4:0.021488	
481(116441)::	4:0.053900	
482(143931)::	4:0.021092	
483(423965)::	4:0.091475	
484(280242)::	4:0.015824	
485(328418)::	4:0.026631	
486(353901)::	4:0.021311	
487(366798)::	4:0.074357	
488(176068)::	3:0.041769	
489(94376)::	3:0.020951	
490(368035)::	3:0.031545	
491(16044)::	3:0.031516	
492(443206)::	3:0.026150	
493(452538)::	3:0.079443	
494(164281)::	3:0.015659	
495(54815)::	3:0.020953	
496(5501)::	6:0.010869	3:0.004917	4:0.007344	
497(212820)::	7:0.025335	
498(377251)::	7:0.009802	
499(190803)::	7:0.025314	
500(454576)::	7:0.030411	
501(486446)::	7:0.035561	
502(16326)::	7:0.035397	
503(491723)::	6:0.001073	
504(423020)::	6:0.005392	
505(491722)::	8:0.025867	
506(19537)::	8:0.030653	
507(302022)::	8:0.021884	
508(319223)::	8:0.020610	
509(136618)::	8:0.008174	
510(140614)::	8:0.026088	
511(117458)::	8:0.017226	
512(500603)::	4:0.031840	
513(51371)::	4:0.021132	
514(432282)::	4:0.026515	
515(51382)::	4:0.021020	
516(9453)::	4:0.031844	
517(482370)::	4:0.015785	
518(213650)::	4:0.047979	
519(212827)::	8:0.017577	9:0.004171	
520(295170)::	8:0.075309	
521(290855)::	9:0.027065	
522(498449)::	8:0.039718	
523(83991)::	8:0.066499	
524(472246)::	8:0.034603	
525(124353)::	7:0.009607	
526(259710)::	11:0.001910	7:0.024017	
527(91976)::	7:0.019251	
528(69171)::	6:0.004944	4:0.013557	3:0.005671	
529(45050)::	4:0.028955	6:0.022580	
530(396583)::	3:0.051584	
531(3995)::	3:0.005176	4:0.014849	
532(406514)::	4:0.064511	
533(26738)::	6:0.024720	8:0.004565	
534(124350)::	3:0.004620	6:0.008364	
535(476586)::	6:0.025996	
536(11756)::	6:0.039460	
537(309703)::	3:0.025127	
538(69174)::	3:0.025490	
539(395013)::	8:0.022993	3:0.078099	
540(503657)::	3:0.004631	
541(113598)::	3:0.020366	
542(311227)::	3:0.025446	
543(53029)::	3:0.020360	
544(124356)::	9:0.021773	4:0.001743	
545(298034)::	9:0.014042	
546(188785)::	9:0.028010	
547(38199)::	9:0.028431	
548(124355)::	7:0.046323	
549(164120)::	7:0.015272	
550(164114)::	7:0.019946	
551(388517)::	7:0.056235	
552(294735)::	7:0.030773	
553(6348)::	7:0.025644	
554(73114)::	7:0.061711	
555(7785)::	7:0.015361	
556(316456)::	7:0.015361	
557(102963)::	7:0.020504	
558(124354)::	9:0.027916	
559(396354)::	9:0.042958	
560(318747)::	9:0.042841	
561(298979)::	3:0.005059	9:0.032812	
562(54243)::	9:0.023398	
563(377018)::	9:0.018887	
564(60103)::	8:0.017125	9:0.004192	
565(124359)::	9:0.038278	
566(364337)::	9:0.028714	
567(250730)::	9:0.061890	
568(104157)::	9:0.019058	
569(107846)::	9:0.018594	
570(195432)::	9:0.028423	
571(48940)::	9:0.033269	
572(250990)::	8:0.011921	
573(498999)::	8:0.011922	
574(422112)::	8:0.011922	11:0.009381	
575(383428)::	3:0.004629	8:0.011922	
576(438863)::	3:0.004846	
577(159340)::	3:0.036385	
578(45443)::	8:0.012816	
579(2454)::	11:0.018951	8:0.017044	
580(478311)::	8:0.039490	
581(156567)::	8:0.043980	
582(438860)::	6:0.026110	
583(108786)::	6:0.025575	
584(432807)::	6:0.044136	
585(402467)::	6:0.034985	
586(226958)::	6:0.017059	
587(153077)::	6:0.029665	
588(91270)::	6:0.017282	
589(362652)::	4:0.015308	
590(12761)::	4:0.015305	
591(175745)::	4:0.020595	
592(289809)::	4:0.020807	
593(168089)::	7:0.025551	
594(530082)::	7:0.010067	
595(530391)::	7:0.072606	
596(499945)::	7:0.172511	
597(542723)::	7:0.025785	
598(437159)::	7:0.056865	
599(168088)::	3:0.008137	
600(379744)::	3:0.036569	
601(249538)::	3:0.003095	4:0.004729	
602(499268)::	4:0.021108	
603(404154)::	4:0.031440	
604(505626)::	4:0.031889	
605(404150)::	4:0.021090	
606(210623)::	4:0.026472	
607(362657)::	9:0.013270	
608(303157)::	9:0.008616	
609(257575)::	9:0.018770	
610(110537)::	9:0.022825	
611(256202)::	4:0.015053	
612(326291)::	4:0.015260	
613(37486)::	9:0.004416	4:0.009905	
614(214486)::	4:0.025929	
615(483420)::	3:0.005000	
616(394319)::	3:0.052311	11:0.019025	
617(458808)::	
618(83204)::	
619(387855)::	6:0.016899	
620(402259)::	6:0.016509	
621(354352)::	6:0.025680	
622(402267)::	6:0.016508	
623(423934)::	6:0.017088	
624(506603)::	
625(51045)::	
626(387856)::	7:0.019677	
627(94157)::	7:0.014546	
628(47372)::	7:0.014846	
629(473690)::	7:0.014546	
630(228971)::	7:0.014548	
631(454404)::	
632(73502)::	7:0.002728	
633(529503)::	
634(285366)::	
635(327712)::	
636(521091)::	6:0.003921	
637(357793)::	
638(449591)::	6:0.033094	
639(458800)::	4:0.048238	
640(470040)::	4:0.015906	
641(4040)::	4:0.031910	
642(76789)::	4:0.026657	
643(460900)::	4:0.020848	
644(494491)::	4:0.026775	
645(314783)::	4:0.080815	
646(427846)::	4:0.026225	
647(516700)::	4:0.020921	
648(310391)::	4:0.048181	
649(201866)::	8:0.008183	
650(208515)::	8:0.034987	
651(82134)::	8:0.017140	
652(444995)::	7:0.025558	
653(429065)::	7:0.020441	
654(58469)::	7:0.057042	
655(203430)::	7:0.014919	
656(452619)::	7:0.041337	
657(165680)::	7:0.088438	
658(436242)::	9:0.028221	
659(123723)::	9:0.037727	
660(193767)::	9:0.009098	
661(522022)::	9:0.023904	
662(109468)::	9:0.032541	
663(497932)::	9:0.033105	
664(187021)::	9:0.018487	
665(158717)::	7:0.014818	11:0.008605	
666(424812)::	11:0.017959	
667(342836)::	7:0.014478	
668(450923)::	7:0.050402	
669(31389)::	7:0.030221	
670(320500)::	3:0.026603	
671(314431)::	3:0.101367	
672(535017)::	3:0.079923	
673(176201)::	3:0.085330	
674(417494)::	3:0.112177	
675(176460)::	3:0.112194	
676(90311)::	8:0.016817	
677(385962)::	8:0.020568	
678(192178)::	8:0.012438	
679(385965)::	8:0.017032	
680(434011)::	8:0.016818	
681(320502)::	6:0.026277	
682(368728)::	6:0.030703	
683(394167)::	6:0.039636	
684(199186)::	6:0.035173	
685(91751)::	6:0.021855	
686(464627)::	6:0.044088	
687(157016)::	6:0.026295	
688(90314)::	8:0.002854	
689(302648)::	8:0.011234	
690(90315)::	9:0.038189	
691(312934)::	9:0.048089	
692(62000)::	9:0.013693	
693(521507)::	9:0.067499	
694(283031)::	9:0.067223	
695(408237)::	9:0.023784	
696(214187)::	9:0.014136	
697(139540)::	9:0.033271	
698(364541)::	9:0.067478	
699(193823)::	4:0.026684	
700(229318)::	4:0.048165	
701(477457)::	4:0.064549	
702(50690)::	4:0.032092	
703(189312)::	4:0.048339	
704(104853)::	3:0.029666	4:0.022559	
705(193820)::	6:0.002507	
706(531459)::	6:0.009327	
707(488781)::	11:0.039129	
708(374689)::	11:0.049004	
709(487594)::	11:0.128382	
710(292171)::	11:0.068822	
711(476084)::	11:0.068744	
712(418616)::	6:0.008667	
713(414046)::	6:0.043451	
714(389452)::	6:0.119851	
715(415438)::	8:0.021785	
716(38886)::	8:0.030098	
717(116663)::	8:0.029911	
718(487887)::	8:0.021469	
719(191285)::	8:0.051766	
720(427623)::	8:0.021787	
721(418612)::	9:0.017519	
722(388262)::	3:0.005080	9:0.003802	
723(520057)::	9:0.018620	
724(279941)::	9:0.091215	
725(365827)::	9:0.008683	
726(479251)::	6:0.034528	
727(328275)::	6:0.007942	
728(351023)::	6:0.017064	
729(520102)::	6:0.017151	
730(375766)::	6:0.008659	
731(283989)::	6:0.017191	
732(92237)::	6:0.012756	
733(29233)::	6:0.043503	
734(405475)::	6:0.021757	
735(415431)::	9:0.028518	
736(525270)::	9:0.023563	
737(361633)::	9:0.042663	
738(283107)::	9:0.023703	
739(435712)::	9:0.033252	4:0.010211	
740(17165)::	9:0.028520	
741(110162)::	9:0.047484	
742(436245)::	9:0.008994	
743(115375)::	9:0.018347	
744(81049)::	9:0.042784	
745(415435)::	6:0.012166	
746(463567)::	6:0.016037	
747(415427)::	6:0.012471	
748(363452)::	6:0.015771	
749(163502)::	11:0.039183	
750(319097)::	11:0.049090	
751(35253)::	11:0.058798	
752(431961)::	11:0.049004	
753(82895)::	11:0.088682	
754(163501)::	8:0.017657	
755(165440)::	8:0.030935	
756(185448)::	8:0.062236	
757(206143)::	8:0.278306	
758(13911)::	8:0.066512	
759(415436)::	8:0.010569	9:0.012157	
760(34994)::	9:0.100923	8:0.102704	
761(462983)::	9:0.281873	
762(459851)::	8:0.025936	
763(179312)::	9:0.091528	
764(143000)::	3:0.054610	8:0.033807	
765(189595)::	6:0.035108	
766(274816)::	6:0.012878	4:0.005377	
767(514721)::	6:0.035181	
768(322137)::	6:0.026232	
769(74388)::	6:0.030592	
770(26245)::	6:0.021820	
771(351675)::	6:0.021791	
772(189597)::	6:0.047920	4:0.032100	
773(516461)::	6:0.044017	
774(112950)::	9:0.007123	
775(316501)::	8:0.008542	9:0.007125	
776(209293)::	9:0.007124	
777(256298)::	3:0.036981	
778(140996)::	3:0.036942	
779(537489)::	3:0.042411	
780(240362)::	3:0.020900	
781(329109)::	3:0.052986	
782(338769)::	3:0.058119	
783(534984)::	3:0.036845	
784(413463)::	3:0.031166	
785(427565)::	3:0.026486	
786(193950)::	3:0.025952	4:0.010471	
787(426241)::	3:0.058380	
788(462165)::	9:0.023574	
789(426069)::	9:0.013699	
790(421454)::	9:0.033105	
791(314122)::	9:0.023490	
792(473884)::	9:0.028261	
793(379267)::	9:0.066771	
794(13050)::	7:0.020138	
795(247724)::	7:0.020399	
796(477820)::	7:0.051263	
797(13051)::	7:0.025647	
798(221068)::	7:0.014999	
799(409892)::	7:0.030713	
800(362635)::	7:0.046655	
801(176142)::	7:0.051882	
802(13055)::	8:0.007629	
803(515548)::	7:0.004464	8:0.015695	
804(255493)::	8:0.012018	
805(258948)::	8:0.012476	
806(490301)::	8:0.016742	
807(20548)::	8:0.012476	
808(394775)::	8:0.042723	
809(54171)::	6:0.017292	
810(252782)::	6:0.038763	
811(127006)::	6:0.026092	
812(127004)::	6:0.043663	
813(531745)::	6:0.021635	
814(533395)::	9:0.013631	
815(243246)::	9:0.028278	
816(115724)::	9:0.013594	
817(57808)::	9:0.023546	
818(54173)::	
819(15419)::	
820(543470)::	6:0.017176	
821(187400)::	6:0.043836	
822(205705)::	6:0.048320	
823(248167)::	6:0.026189	
824(240814)::	6:0.012713	
825(54176)::	8:0.021623	
826(501774)::	8:0.035185	
827(20468)::	8:0.048686	
828(9166)::	8:0.030461	
829(367731)::	8:0.039185	
830(436042)::	8:0.008250	
831(97025)::	7:0.019717	
832(271328)::	7:0.051676	
833(223227)::	7:0.004301	
834(74397)::	7:0.046498	
835(86880)::	7:0.051574	
836(54178)::	4:0.021282	
837(425543)::	4:0.053697	
838(119535)::	4:0.037448	
839(428381)::	4:0.037421	
840(352232)::	4:0.026615	
841(540555)::	9:0.018919	
842(23961)::	9:0.047449	
843(248476)::	9:0.038168	
844(382795)::	9:0.042791	
845(154869)::	9:0.028501	
846(258942)::	8:0.021887	
847(46069)::	8:0.026409	
848(422113)::	8:0.030998	
849(520429)::	8:0.030918	
850(221031)::	8:0.026481	
851(70825)::	8:0.084653	
852(280308)::	6:0.011305	
853(479736)::	6:0.007373	
854(62224)::	6:0.007710	
855(407189)::	6:0.011985	
856(285159)::	6:0.012186	
857(350974)::	6:0.016494	
858(285203)::	6:0.016745	
859(11473)::	6:0.012052	
860(291286)::	6:0.008720	3:0.015721	
861(403713)::	3:0.047519	
862(157534)::	3:0.031500	
863(424754)::	6:0.310688	
864(535538)::	3:0.246483	
865(456860)::	6:0.043850	
866(258947)::	6:0.025558	
867(439323)::	6:0.008421	
868(179236)::	6:0.017104	
869(531554)::	6:0.052474	
870(241940)::	6:0.017105	
871(230897)::	6:0.008421	
872(507288)::	6:0.017104	
873(264994)::	7:0.019903	
874(102680)::	7:0.035762	
875(163664)::	11:0.008858	7:0.009707	
876(151646)::	7:0.035997	
877(245754)::	7:0.014515	
878(309642)::	8:0.012641	
879(133047)::	8:0.044108	
880(477531)::	8:0.012424	
881(129723)::	8:0.029826	
882(94543)::	
883(104909)::	6:0.004096	
884(256122)::	7:0.077722	
885(5380)::	7:0.051244	
886(92970)::	7:0.030452	
887(202633)::	7:0.004998	8:0.012825	
888(99866)::	7:0.025801	
889(300561)::	6:0.004784	7:0.019766	
890(179461)::	7:0.051726	
891(394290)::	7:0.051774	
892(47107)::	7:0.025832	
893(402447)::	7:0.030059	
894(222637)::	7:0.019857	
895(212306)::	7:0.124619	
896(229730)::	7:0.072523	
897(427407)::	7:0.025726	
898(364851)::	3:0.004959	7:0.020439	
