0.273804
0.273804
0(445196)::	4:0.466495	3:0.466495	2:0.466495	1:0.466495	0:0.466495	
40(37313)::	0:0.061559	1:0.061559	2:0.061559	3:0.061559	4:0.061559	
41(138586)::	1:0.061573	2:0.061573	3:0.061573	4:0.061573	0:0.061573	
42(326049)::	4:0.313802	3:0.313802	2:0.313802	1:0.313802	0:0.313802	
43(506415)::	4:0.062133	3:0.062133	2:0.062133	1:0.062133	0:0.062133	
44(535792)::	0:0.210906	1:0.210906	2:0.210906	3:0.210906	4:0.210906	
45(8130)::	0:0.218596	1:0.218596	2:0.218596	3:0.218596	4:0.218596	
46(471901)::	0:0.085738	1:0.085738	2:0.085738	3:0.085738	4:0.085738	
47(36893)::	4:0.159622	3:0.159622	2:0.159622	1:0.159622	0:0.159622	
48(287998)::	0:0.034934	1:0.034934	2:0.034934	3:0.034934	4:0.034934	
49(438922)::	2:0.034937	3:0.034937	4:0.034937	1:0.034937	0:0.034937	
50(404569)::	4:0.016033	3:0.016033	2:0.016033	1:0.016033	0:0.016033	
51(92426)::	4:0.016034	3:0.016034	2:0.016034	1:0.016034	0:0.016034	
52(157349)::	4:0.016024	3:0.016024	2:0.016024	1:0.016024	0:0.016024	
53(48815)::	0:0.271752	1:0.271752	2:0.271752	3:0.271752	4:0.271752	
54(439705)::	4:0.061284	3:0.061284	2:0.061284	1:0.061284	0:0.061284	
55(412381)::	0:0.122136	1:0.122136	2:0.122136	3:0.122136	4:0.122136	
56(71938)::	4:0.062133	3:0.062133	2:0.062133	1:0.062133	0:0.062133	
57(2126)::	2:0.061305	3:0.061305	4:0.061305	1:0.061305	0:0.061305	
58(453143)::	0:0.073670	1:0.073670	2:0.073670	3:0.073670	4:0.073670	
59(25482)::	4:0.062103	3:0.062103	2:0.062103	1:0.062103	0:0.062103	
60(435544)::	2:0.076134	1:0.076134	0:0.076134	3:0.076134	4:0.076134	
61(419838)::	4:0.075572	3:0.075572	2:0.075572	1:0.075572	0:0.075572	
62(73917)::	0:0.161741	1:0.161741	2:0.161741	3:0.161741	4:0.161741	
63(61872)::	2:0.063169	3:0.063169	4:0.063169	1:0.063169	0:0.063169	
64(464271)::	4:0.088042	3:0.088042	2:0.088042	1:0.088042	0:0.088042	
65(107996)::	0:0.074950	1:0.074950	2:0.074950	3:0.074950	4:0.074950	
66(190549)::	0:0.074959	1:0.074959	2:0.074959	3:0.074959	4:0.074959	
67(249182)::	0:0.086189	1:0.086189	2:0.086189	3:0.086189	4:0.086189	
68(452964)::	4:0.063881	3:0.063881	2:0.063881	1:0.063881	0:0.063881	
69(49247)::	4:0.062141	3:0.062141	2:0.062141	1:0.062141	0:0.062141	
70(466579)::	1:0.062156	2:0.062156	3:0.062156	4:0.062156	0:0.062156	
71(269463)::	4:0.079404	3:0.079404	2:0.079404	1:0.079404	0:0.079404	
72(195082)::	0:0.062161	1:0.062161	2:0.062161	3:0.062161	4:0.062161	
73(420900)::	0:0.194657	1:0.194657	2:0.194657	3:0.194657	4:0.194657	
74(536374)::	4:0.072244	3:0.072244	2:0.072244	1:0.072244	0:0.072244	
75(3951)::	4:0.231721	3:0.231721	2:0.231721	1:0.231721	0:0.231721	
76(444746)::	0:0.156764	1:0.156764	2:0.156764	3:0.156764	4:0.156764	
77(438282)::	4:0.072403	3:0.072403	2:0.072403	1:0.072403	0:0.072403	
78(344945)::	4:0.057530	3:0.057530	2:0.057530	1:0.057530	0:0.057530	
79(28682)::	4:0.163673	3:0.163673	2:0.163673	1:0.163673	0:0.163673	
80(390591)::	4:0.075336	3:0.075336	2:0.075336	1:0.075336	0:0.075336	
81(19411)::	4:0.057692	3:0.057692	2:0.057692	1:0.057692	0:0.057692	
82(373235)::	4:0.179302	3:0.179302	2:0.179302	1:0.179302	0:0.179302	
83(533891)::	4:0.106941	3:0.106941	2:0.106941	1:0.106941	0:0.106941	
84(260186)::	4:0.062149	3:0.062149	2:0.062149	1:0.062149	0:0.062149	
85(105769)::	0:0.063143	1:0.063143	2:0.063143	3:0.063143	4:0.063143	
86(463156)::	0:0.020862	1:0.020862	2:0.020862	3:0.020862	4:0.020862	
87(184063)::	4:0.076788	3:0.076788	2:0.076788	1:0.076788	0:0.076788	
88(377269)::	4:0.131593	3:0.131593	2:0.131593	1:0.131593	0:0.131593	
89(283515)::	2:0.086189	3:0.086189	4:0.086189	1:0.086189	0:0.086189	
90(123850)::	0:0.010153	1:0.010153	2:0.010153	3:0.010153	4:0.010153	
91(482474)::	2:0.086183	1:0.086183	0:0.086183	3:0.086183	4:0.086183	
92(55648)::	2:0.042203	1:0.042203	0:0.042203	3:0.042203	4:0.042203	
93(458402)::	2:0.086173	3:0.086173	4:0.086173	1:0.086173	0:0.086173	
94(273695)::	4:0.086170	3:0.086170	2:0.086170	1:0.086170	0:0.086170	
95(288917)::	0:0.010142	1:0.010142	2:0.010142	3:0.010142	4:0.010142	
96(501176)::	2:0.003829	3:0.003829	4:0.003829	1:0.003829	0:0.003829	
97(9345)::	0:0.003829	1:0.003829	2:0.003829	3:0.003829	4:0.003829	
