0.400999
0.400999
0(97659)::	0:0.089675	1:0.089675	2:0.089675	3:0.089675	4:0.089675	5:0.089675	6:0.089675	7:0.089675	8:0.089675	9:0.089675	10:0.089675	11:0.089675	12:0.089675	13:0.089675	
11(547392)::	0:0.220405	1:0.220405	2:0.220405	3:0.220405	4:0.220405	5:0.220405	6:0.220405	7:0.220405	8:0.220405	9:0.220405	10:0.220405	11:0.220405	12:0.220405	13:0.220405	
12(547394)::	13:0.128293	12:0.128293	11:0.128293	10:0.128293	9:0.128293	8:0.128293	7:0.128293	6:0.128293	5:0.128293	4:0.128293	3:0.128293	2:0.128293	1:0.128293	0:0.128293	
13(136464)::	0:0.003400	1:0.003400	2:0.003400	3:0.003400	4:0.003400	5:0.003400	6:0.003400	7:0.003400	8:0.003400	9:0.003400	10:0.003400	11:0.003400	12:0.003400	13:0.003400	
14(547009)::	0:0.182237	1:0.182237	2:0.182237	3:0.182237	4:0.182237	5:0.182237	6:0.182237	7:0.182237	8:0.182237	9:0.182237	10:0.182237	11:0.182237	12:0.182237	13:0.182237	
15(544734)::	0:0.125734	1:0.125734	2:0.125734	3:0.125734	4:0.125734	5:0.125734	6:0.125734	7:0.125734	8:0.125734	9:0.125734	10:0.125734	11:0.125734	12:0.125734	13:0.125734	
16(544730)::	3:0.060698	4:0.060698	5:0.060698	6:0.060698	7:0.060698	8:0.060698	9:0.060698	10:0.060698	11:0.060698	12:0.060698	13:0.060698	2:0.060698	1:0.060698	0:0.060698	
17(544727)::	13:0.111161	12:0.111161	11:0.111161	10:0.111161	9:0.111161	8:0.111161	7:0.111161	6:0.111161	5:0.111161	4:0.111161	3:0.111161	2:0.111161	1:0.111161	0:0.111161	
18(545972)::	4:0.058295	5:0.058295	6:0.058295	7:0.058295	8:0.058295	9:0.058295	2:0.058295	10:0.058295	11:0.058295	12:0.058295	13:0.058295	1:0.058295	0:0.058295	3:0.058295	
19(547393)::	13:0.110728	12:0.110728	11:0.110728	10:0.110728	9:0.110728	8:0.110728	7:0.110728	6:0.110728	5:0.110728	4:0.110728	3:0.110728	2:0.110728	1:0.110728	0:0.110728	
20(544726)::	3:0.144334	4:0.144334	5:0.144334	6:0.144334	7:0.144334	8:0.144334	9:0.144334	10:0.144334	11:0.144334	12:0.144334	13:0.144334	2:0.144334	1:0.144334	0:0.144334	
21(146773)::	0:0.121550	1:0.121550	2:0.121550	3:0.121550	4:0.121550	5:0.121550	6:0.121550	7:0.121550	8:0.121550	9:0.121550	10:0.121550	11:0.121550	12:0.121550	13:0.121550	
22(545209)::	13:0.090501	12:0.090501	11:0.090501	10:0.090501	9:0.090501	8:0.090501	7:0.090501	6:0.090501	5:0.090501	4:0.090501	3:0.090501	2:0.090501	1:0.090501	0:0.090501	
23(546391)::	9:0.088597	8:0.088597	7:0.088597	6:0.088597	5:0.088597	4:0.088597	3:0.088597	2:0.088597	1:0.088597	0:0.088597	10:0.088597	11:0.088597	12:0.088597	13:0.088597	
24(545210)::	13:0.126031	12:0.126031	11:0.126031	10:0.126031	9:0.126031	8:0.126031	7:0.126031	6:0.126031	5:0.126031	4:0.126031	3:0.126031	2:0.126031	1:0.126031	0:0.126031	
25(276506)::	0:0.110925	1:0.110925	2:0.110925	3:0.110925	4:0.110925	5:0.110925	6:0.110925	7:0.110925	8:0.110925	9:0.110925	10:0.110925	11:0.110925	12:0.110925	13:0.110925	
26(170304)::	0:0.061435	1:0.061435	2:0.061435	3:0.061435	4:0.061435	5:0.061435	6:0.061435	7:0.061435	8:0.061435	9:0.061435	10:0.061435	11:0.061435	12:0.061435	13:0.061435	
27(472720)::	0:0.184925	1:0.184925	2:0.184925	3:0.184925	4:0.184925	5:0.184925	6:0.184925	7:0.184925	8:0.184925	9:0.184925	10:0.184925	11:0.184925	12:0.184925	13:0.184925	
28(547600)::	0:0.087476	1:0.087476	2:0.087476	3:0.087476	4:0.087476	5:0.087476	6:0.087476	7:0.087476	8:0.087476	9:0.087476	10:0.087476	11:0.087476	12:0.087476	13:0.087476	
29(547409)::	13:0.205185	12:0.205185	11:0.205185	10:0.205185	2:0.205185	9:0.205185	8:0.205185	7:0.205185	6:0.205185	5:0.205185	4:0.205185	1:0.205185	0:0.205185	3:0.205185	
30(76908)::	0:0.152754	1:0.152754	2:0.152754	3:0.152754	4:0.152754	5:0.152754	6:0.152754	7:0.152754	8:0.152754	9:0.152754	10:0.152754	11:0.152754	12:0.152754	13:0.152754	
31(547411)::	13:0.091541	12:0.091541	11:0.091541	10:0.091541	9:0.091541	8:0.091541	7:0.091541	6:0.091541	5:0.091541	4:0.091541	3:0.091541	2:0.091541	1:0.091541	0:0.091541	
32(547410)::	13:0.075458	12:0.075458	11:0.075458	10:0.075458	9:0.075458	8:0.075458	7:0.075458	6:0.075458	5:0.075458	4:0.075458	3:0.075458	2:0.075458	1:0.075458	0:0.075458	
33(224705)::	13:0.063052	12:0.063052	11:0.063052	10:0.063052	9:0.063052	8:0.063052	7:0.063052	6:0.063052	5:0.063052	4:0.063052	3:0.063052	2:0.063052	1:0.063052	0:0.063052	
34(548418)::	13:0.090684	12:0.090684	11:0.090684	10:0.090684	9:0.090684	8:0.090684	7:0.090684	6:0.090684	5:0.090684	4:0.090684	3:0.090684	2:0.090684	1:0.090684	0:0.090684	
35(548190)::	0:0.227934	1:0.227934	2:0.227934	3:0.227934	4:0.227934	5:0.227934	6:0.227934	7:0.227934	8:0.227934	9:0.227934	10:0.227934	11:0.227934	12:0.227934	13:0.227934	
36(262393)::	13:0.142119	12:0.142119	11:0.142119	10:0.142119	9:0.142119	8:0.142119	7:0.142119	6:0.142119	5:0.142119	4:0.142119	3:0.142119	2:0.142119	1:0.142119	0:0.142119	
37(546255)::	13:0.109961	12:0.109961	11:0.109961	10:0.109961	9:0.109961	8:0.109961	7:0.109961	6:0.109961	5:0.109961	4:0.109961	3:0.109961	2:0.109961	1:0.109961	0:0.109961	
38(546322)::	12:0.110296	11:0.110296	10:0.110296	9:0.110296	8:0.110296	7:0.110296	6:0.110296	5:0.110296	4:0.110296	3:0.110296	2:0.110296	1:0.110296	0:0.110296	13:0.110296	
39(546016)::	0:0.126343	1:0.126343	2:0.126343	3:0.126343	4:0.126343	5:0.126343	6:0.126343	7:0.126343	8:0.126343	9:0.126343	10:0.126343	11:0.126343	12:0.126343	13:0.126343	
40(547250)::	0:0.124155	1:0.124155	2:0.124155	3:0.124155	4:0.124155	5:0.124155	6:0.124155	7:0.124155	8:0.124155	9:0.124155	10:0.124155	11:0.124155	12:0.124155	13:0.124155	
41(545730)::	13:0.059839	12:0.059839	11:0.059839	10:0.059839	9:0.059839	8:0.059839	7:0.059839	6:0.059839	5:0.059839	4:0.059839	3:0.059839	2:0.059839	1:0.059839	0:0.059839	
42(545507)::	9:0.091276	8:0.091276	7:0.091276	6:0.091276	5:0.091276	4:0.091276	3:0.091276	2:0.091276	1:0.091276	0:0.091276	10:0.091276	11:0.091276	12:0.091276	13:0.091276	
43(547574)::	0:0.096786	1:0.096786	2:0.096786	3:0.096786	4:0.096786	5:0.096786	6:0.096786	7:0.096786	8:0.096786	9:0.096786	10:0.096786	11:0.096786	12:0.096786	13:0.096786	
44(548188)::	13:0.059850	12:0.059850	11:0.059850	10:0.059850	9:0.059850	8:0.059850	7:0.059850	6:0.059850	5:0.059850	4:0.059850	3:0.059850	2:0.059850	1:0.059850	0:0.059850	
45(548445)::	0:0.056999	1:0.056999	2:0.056999	3:0.056999	4:0.056999	5:0.056999	6:0.056999	7:0.056999	8:0.056999	9:0.056999	10:0.056999	11:0.056999	12:0.056999	13:0.056999	
46(544719)::	0:0.087880	1:0.087880	2:0.087880	3:0.087880	4:0.087880	5:0.087880	6:0.087880	7:0.087880	8:0.087880	9:0.087880	10:0.087880	11:0.087880	12:0.087880	13:0.087880	
47(54446)::	13:0.002272	12:0.002272	11:0.002272	10:0.002272	9:0.002272	8:0.002272	7:0.002272	6:0.002272	5:0.002272	4:0.002272	3:0.002272	2:0.002272	1:0.002272	0:0.002272	
48(544513)::	13:0.002272	12:0.002272	11:0.002272	10:0.002272	9:0.002272	8:0.002272	7:0.002272	6:0.002272	5:0.002272	4:0.002272	3:0.002272	2:0.002272	1:0.002272	0:0.002272	
49(477661)::	13:0.001960	12:0.001960	11:0.001960	10:0.001960	9:0.001960	8:0.001960	7:0.001960	6:0.001960	5:0.001960	4:0.001960	3:0.001960	2:0.001960	1:0.001960	0:0.001960	
