0.111514
0.111514
0(412163)::	
1(318212)::	
2(186022)::	
3(401798)::	
99(370416)::	3:0.226719	
100(470620)::	
101(401449)::	
102(499583)::	2:0.204895	
103(74895)::	2:0.201033	
104(199759)::	2:0.151677	
105(46508)::	2:0.092718	
106(298507)::	2:0.091646	
107(489905)::	2:0.080303	
108(392463)::	2:0.087209	
109(336905)::	2:0.151472	
110(432229)::	2:0.148717	
111(120615)::	4:0.164544	
112(225233)::	4:0.164583	
113(204966)::	4:0.158109	
114(77701)::	4:0.164616	
115(541122)::	4:0.210363	
116(2486)::	4:0.042073	
117(476448)::	3:0.602056	
118(242933)::	3:0.311373	
119(363079)::	3:0.120606	
120(361524)::	3:0.680318	
121(52785)::	3:0.318586	
122(80379)::	3:0.120658	
123(111376)::	3:0.259103	
124(350442)::	3:0.262033	
125(153979)::	3:0.262022	
126(19999)::	3:0.522999	
127(185822)::	3:0.243400	
128(478676)::	3:0.316901	
129(18041)::	3:0.549692	
130(209480)::	3:0.243377	
131(504784)::	3:0.245453	
132(71187)::	2:0.048870	
133(373799)::	2:0.606546	
134(473001)::	3:0.096905	
135(30688)::	3:0.096863	
136(59759)::	3:0.157362	
137(256445)::	2:0.137479	
138(176184)::	2:0.031658	
139(377247)::	4:0.433154	
140(277024)::	4:0.033507	
141(261562)::	4:0.412729	
142(276567)::	
143(306636)::	0:1.538083	
144(141618)::	0:0.337934	
145(535762)::	4:0.181085	
146(59285)::	4:0.336982	
147(294679)::	
148(80756)::	
149(448649)::	3:0.242998	
150(161737)::	3:0.237941	
151(186827)::	3:0.174434	
152(187924)::	2:0.041597	
153(198973)::	
154(60211)::	3:0.164524	
155(482986)::	3:0.253623	
156(518306)::	3:0.042352	
157(440745)::	2:0.097713	
158(193240)::	3:0.056253	2:0.151310	
159(295177)::	2:0.521597	
160(265066)::	2:0.225989	
161(141635)::	2:0.159183	
162(30962)::	2:0.348072	
163(127928)::	2:0.047979	
164(236947)::	2:0.218035	
165(179698)::	2:0.107186	
166(246180)::	4:0.235177	
167(417521)::	4:0.405102	
168(221281)::	4:1.240013	
169(433190)::	4:0.394150	
170(202986)::	4:0.415845	
171(345901)::	4:0.534524	
172(502212)::	4:1.147597	
173(85524)::	3:0.226685	
174(280255)::	3:0.506285	
175(29586)::	3:0.176077	
176(173727)::	3:0.047384	
177(120699)::	2:0.050187	3:0.120451	1:0.077847	
178(203272)::	3:0.371776	
179(366654)::	1:0.160573	
180(83906)::	1:0.392743	
181(326849)::	3:0.090461	
182(14686)::	3:0.096724	
183(497867)::	3:0.096744	
184(470004)::	1:0.077879	
185(340331)::	2:0.050203	
186(299611)::	4:0.225981	
187(419862)::	4:0.220875	
188(152407)::	4:0.327752	
189(365354)::	2:0.090148	
190(108259)::	2:0.198209	
191(321619)::	2:0.154734	
192(423864)::	4:0.126743	
193(75780)::	4:0.119014	
194(119359)::	2:0.101785	
195(166566)::	2:0.318576	
196(186575)::	1:0.462921	
197(272735)::	1:0.334460	
198(503684)::	2:0.099396	
199(222414)::	2:0.186732	
200(485080)::	2:0.044093	
201(84839)::	4:0.073543	
202(326211)::	2:0.102381	
203(317367)::	2:0.252889	
204(79870)::	2:0.282990	
205(52511)::	2:0.042873	
206(326093)::	2:0.042856	
207(519686)::	2:0.180813	
208(278)::	2:0.042887	
209(45362)::	2:0.042868	
210(462210)::	3:0.170378	
211(252125)::	2:0.038288	
212(418177)::	4:0.228978	
213(104553)::	4:0.228005	
214(527792)::	4:0.091828	0:0.076227	
215(182923)::	4:0.093617	
216(99026)::	3:0.016159	
217(51157)::	1:0.146798	
218(296069)::	4:0.225025	
219(149809)::	0:0.333265	
220(380338)::	2:0.095689	
221(51902)::	1:0.049108	2:0.113080	
222(390680)::	4:0.064146	
223(275861)::	3:0.180420	
224(371029)::	3:0.633490	
225(402379)::	3:0.383004	
226(298254)::	0:0.144940	
227(447224)::	3:0.059068	2:0.145041	
228(500473)::	2:0.331434	
229(317146)::	1:0.152924	
230(448214)::	1:0.152949	
231(263317)::	1:0.071642	
232(59912)::	1:0.316133	
233(230262)::	4:0.142776	
234(109222)::	2:0.051086	
235(35067)::	2:0.145835	
236(310851)::	1:0.342391	2:0.066606	
237(404948)::	2:0.228948	
238(122517)::	2:0.051094	
239(33710)::	
240(374874)::	3:0.026163	
241(511278)::	2:0.156643	
242(396502)::	2:0.261665	1:0.082342	
243(285549)::	2:0.048159	
244(296111)::	3:0.383160	
245(181025)::	3:0.175711	
246(67016)::	3:0.077583	2:0.052139	
247(172218)::	3:0.120415	
248(301761)::	4:0.174115	
249(496201)::	4:0.172590	
250(52500)::	4:0.086084	
251(33251)::	4:0.178311	
252(127821)::	4:0.090963	
253(272957)::	4:0.042075	
254(70522)::	4:0.174132	
255(443731)::	4:0.091047	
256(154202)::	1:0.055814	
257(299055)::	1:0.131272	
258(277713)::	3:0.023693	
259(231620)::	3:0.081012	
260(110453)::	2:0.044100	
261(60627)::	3:0.055077	
262(38671)::	3:0.611902	
263(181492)::	3:0.254553	
264(42473)::	3:0.189245	
265(219603)::	3:0.122978	1:0.057170	
266(84285)::	2:0.080199	
267(383731)::	2:0.090705	
268(338128)::	2:0.044082	
269(145797)::	2:0.037374	
270(511689)::	2:0.088200	
271(293587)::	2:0.073046	
272(285669)::	1:0.055841	
273(394703)::	2:0.044124	1:0.131309	
274(138024)::	2:0.100589	
275(250046)::	3:0.174943	
276(273209)::	2:0.099425	
277(123681)::	1:0.149601	
278(211967)::	2:0.221575	
279(365309)::	2:0.152661	
280(430314)::	2:0.201168	
281(168941)::	3:0.058762	
282(427507)::	2:0.036827	
283(216422)::	
284(313307)::	4:0.357979	
285(182201)::	4:0.290736	
286(289953)::	4:0.343387	
287(353264)::	4:0.412654	
288(355378)::	4:0.247696	
289(443332)::	4:0.240450	
290(347716)::	4:0.240530	
291(85871)::	1:0.082356	
292(423198)::	2:0.101955	
293(84693)::	3:0.170353	
294(310236)::	2:0.160623	
295(495476)::	3:0.059083	
296(393031)::	3:0.113970	1:0.082287	
297(504412)::	3:0.059077	2:0.094936	
298(226541)::	3:0.175467	
299(384330)::	3:0.051051	1:0.082324	
300(446298)::	1:0.361410	
301(182435)::	1:0.361572	
302(403034)::	1:0.165439	
303(423306)::	1:0.466574	
304(59532)::	1:0.082279	
305(370979)::	2:0.156538	
306(416162)::	4:0.245105	
307(263093)::	4:0.287710	
308(68495)::	3:0.058741	
309(295752)::	2:0.161717	
310(119854)::	2:0.050203	
311(409356)::	4:0.013114	
312(471336)::	
313(104481)::	3:0.058748	
314(334788)::	1:0.070092	
315(376985)::	1:0.070394	
316(491667)::	3:0.086857	
317(451931)::	2:0.044101	
318(313006)::	2:0.225562	
319(96125)::	3:0.055287	
320(12959)::	3:0.186012	
321(426835)::	3:0.058747	
322(112056)::	2:0.052159	
323(217346)::	2:0.094963	
324(484561)::	1:0.070401	
325(451488)::	2:0.088219	
326(399572)::	1:0.139430	
327(45561)::	1:0.077809	
328(59613)::	2:0.032897	
329(83510)::	3:0.147108	
330(428993)::	3:0.040197	
331(287582)::	4:0.084838	
332(21786)::	2:0.044103	
333(197919)::	2:0.048154	
334(440989)::	3:0.022159	
335(452208)::	1:0.070399	
336(326874)::	1:0.077872	
337(417198)::	2:0.050169	
338(35308)::	2:0.036858	
339(4328)::	1:0.077855	
340(304727)::	1:0.077870	
