0(228055): 
1(521702): 6(0.152719), 
123(328482): 0(0.026191), 
124(519485): 0(0.059159), 
125(489169): 4(0.013660), 
126(84556): 4(0.041861), 
127(245619): 4(0.041950), 
128(88399): 7(0.062649), 
129(476443): 7(0.019841), 
130(501293): 7(0.013506), 
131(482665): 7(0.076085), 
132(454004): 7(1.431234), 
133(237917): 7(0.033530), 
134(276791): 7(0.013508), 
135(56153): 7(0.055817), 
136(376547): 7(0.013506), 
137(522517): 7(0.047690), 
138(88398): 3(0.026533), 
139(272783): 2(0.017923), 3(0.022677), 
140(232951): 3(0.082207), 
141(348068): 3(0.018377), 
142(471743): 3(0.033742), 
143(401241): 0(0.026189), 
144(204811): 0(0.019622), 
145(543927): 0(0.026186), 
146(321978): 0(0.066509), 
147(407625): 0(0.066625), 
148(527745): 
149(110692): 4(0.037452), 
150(279503): 0(0.033719), 
151(321284): 0(0.115128), 
152(184555): 0(0.094655), 
153(344146): 0(0.094686), 
154(84915): 0(0.128757), 
155(371631): 0(0.115141), 
156(177649): 1(0.022858), 
157(109460): 1(0.034611), 
158(252411): 1(0.017571), 
159(276739): 1(0.041409), 
160(221480): 
161(515064): 3(0.033969), 
162(190224): 3(0.041128), 
163(188744): 3(0.027120), 
164(69843): 3(0.040905), 
165(369190): 3(0.103487), 
166(259203): 3(0.117404), 
167(260297): 1(0.017980), 
168(372972): 1(0.041936), 
169(18025): 1(0.134509), 
170(186205): 1(0.140885), 
171(319696): 
172(106268): 4(0.499191), 
173(260295): 
174(380450): 
175(399246): 3(0.075283), 
176(195515): 7(0.013817), 
177(265017): 2(0.022395), 7(0.061293), 
178(494189): 7(0.304649), 
179(195514): 
180(11921): 0(0.057781), 
181(519988): 2(0.153545), 
182(80597): 7(0.076234), 
183(543345): 
184(163423): 7(0.048307), 
185(496152): 7(0.027592), 
186(205848): 7(0.047385), 
187(521503): 7(0.041502), 
188(263801): 7(0.048415), 
189(180366): 7(0.034668), 
190(434868): 7(0.027587), 
191(520027): 7(0.027412), 
192(511319): 
193(232366): 7(0.083646), 
194(392113): 4(0.056989), 
195(505086): 4(0.057329), 
196(379477): 4(0.050153), 
197(467582): 4(0.042476), 
198(974): 4(0.035741), 
199(193097): 4(0.196422), 
200(538261): 4(0.028359), 
201(174132): 4(0.028067), 
202(148897): 4(0.013772), 
203(323051): 1(0.023580), 
204(273293): 1(0.035876), 
205(16770): 1(0.097839), 
206(412208): 1(0.023415), 
207(444455): 1(0.029710), 
208(52469): 0(0.026179), 
209(73675): 0(0.059481), 
210(521871): 0(0.019638), 
211(409224): 0(0.025922), 
212(496115): 0(0.073590), 
213(100014): 
214(35541): 7(0.104955), 
215(135865): 
216(413310): 4(0.313462), 
217(43763): 6(0.431493), 
218(100013): 4(0.049820), 
219(31408): 4(0.049817), 
220(478270): 4(0.028236), 
221(72133): 4(0.028210), 
222(10869): 4(0.042532), 
223(178966): 4(0.049865), 
224(147059): 4(0.042576), 
225(463820): 4(0.042601), 
226(17255): 
227(394970): 6(0.026334), 
228(30857): 4(0.100501), 
229(63026): 6(0.034632), 
230(497744): 6(0.090498), 
231(432576): 6(0.047386), 
232(209316): 6(0.062560), 
233(224196): 6(0.083601), 
234(499399): 6(0.069492), 
235(362385): 0(0.019603), 
236(526261): 0(0.039451), 
237(2799): 0(0.053089), 
238(423643): 0(0.039525), 
239(235968): 0(0.334059), 
240(87265): 0(0.019590), 
241(188120): 0(0.026744), 
242(513330): 1(0.028232), 
243(58879): 0(0.033890), 
244(517581): 0(0.053510), 
245(274070): 0(0.059972), 
246(366273): 0(0.033881), 
247(502587): 0(0.026712), 
248(412752): 1(0.018065), 
249(215272): 0(0.033500), 
250(219763): 0(0.026694), 
251(494938): 0(0.019385), 
252(332541): 
253(182237): 0(0.019659), 
254(27517): 0(0.021514), 1(0.033526), 
255(79588): 0(0.033549), 
256(41933): 0(0.033310), 
257(474690): 0(0.017392), 
258(450114): 0(0.149752), 
259(165262): 0(0.060336), 
260(168678): 0(0.033554), 
261(227661): 0(0.039775), 
262(8928): 
263(67309): 0(0.100742), 
264(430230): 
265(366408): 1(0.097230), 
266(216995): 0(0.013387), 1(0.017215), 
267(153403): 1(0.053555), 
268(399191): 
269(489314): 0(0.019558), 
270(239665): 0(0.033954), 
271(411878): 0(0.053269), 
272(341868): 0(0.026696), 
273(167908): 0(0.046889), 
274(248533): 
275(471187): 0(0.067150), 
276(115770): 1(0.053562), 
277(242210): 1(0.034287), 
278(90527): 0(0.265966), 
279(491124): 0(0.032817), 
280(205384): 0(0.026834), 
281(49967): 0(0.080638), 
282(243533): 0(0.176411), 
283(23001): 0(0.101433), 
284(469155): 0(0.036297), 1(0.057816), 
285(373554): 0(0.053734), 
286(530499): 
287(514261): 0(0.027044), 
288(339258): 0(0.033561), 
289(95795): 
290(490793): 
291(514995): 
292(211226): 
293(296584): 
294(402102): 
295(304237): 
296(333397): 
297(76467): 7(0.034838), 
298(535408): 7(0.084343), 
299(513654): 7(0.063164), 
300(10902): 7(0.077257), 
301(412102): 7(0.077216), 
302(312811): 7(0.034945), 
303(53734): 1(0.017030), 
304(501916): 1(0.017030), 
305(84958): 1(0.017031), 
306(528231): 1(0.146589), 
307(46795): 7(0.027484), 
308(20162): 7(0.219081), 
309(341674): 
310(519909): 7(0.054974), 
311(35532): 7(0.275512), 
312(21617): 7(0.041171), 
313(177539): 7(0.049184), 
314(232265): 7(0.027778), 
315(9754): 
316(341084): 7(0.027735), 
317(88663): 7(0.056273), 
318(212828): 0(0.025796), 
319(381821): 
320(346504): 0(0.038283), 
321(452750): 0(0.019818), 
322(400348): 0(0.087091), 
323(411431): 6(0.062441), 
324(481425): 6(0.026120), 
325(170136): 6(0.026373), 
326(488285): 6(0.288555), 
327(261820): 6(0.034651), 
328(334317): 6(0.041641), 
329(160727): 6(0.019337), 
330(108520): 6(0.083796), 
331(494610): 6(0.082728), 
332(177605): 6(0.062222), 
333(424831): 7(0.020681), 
334(83040): 7(0.076126), 
335(75646): 7(0.034102), 
336(319174): 3(0.048813), 7(0.190890), 
337(463003): 4(0.026821), 
338(387628): 4(0.034649), 
339(525545): 4(0.026821), 
340(321237): 4(0.033819), 
341(51913): 
342(411438): 7(0.048652), 
343(126267): 2(0.017058), 7(0.031318), 
344(437704): 7(0.041474), 
345(283344): 7(0.068315), 
346(540075): 7(0.068809), 
347(450562): 7(0.027763), 
348(291117): 1(0.827866), 
349(475691): 7(0.034490), 
350(192210): 7(0.083088), 
351(353261): 4(0.144242), 
352(349866): 4(0.035722), 
353(44661): 4(0.035136), 
354(383184): 2(0.028354), 4(0.049091), 
355(253668): 4(0.021255), 
356(405513): 4(0.019776), 
357(286580): 4(0.026996), 
358(370000): 4(0.028419), 
359(176509): 4(0.042872), 
360(336929): 4(0.013672), 
361(264384): 4(0.100770), 
362(218853): 4(0.042615), 
363(516068): 4(0.027875), 
364(379417): 4(0.034488), 
365(161015): 4(0.028007), 
366(142277): 4(0.115070), 
367(460222): 4(0.035715), 
368(9682): 4(0.028352), 
369(71791): 4(0.049967), 
370(111791): 4(0.064133), 
371(290310): 4(0.042761), 
372(500600): 6(0.041080), 
373(244916): 6(0.181481), 
374(1): 6(0.055604), 
375(118052): 6(0.125731), 
376(346495): 6(0.062453), 
377(161555): 6(0.218270), 
378(143280): 
379(154270): 
380(159604): 0(0.053467), 
381(197303): 0(0.046688), 
382(154275): 2(0.178307), 
383(110185): 2(0.029257), 
384(247001): 2(0.080586), 
385(82645): 2(0.043990), 
386(192066): 2(0.028612), 
387(179533): 2(0.036707), 
388(448681): 2(0.014414), 
389(264693): 2(0.206467), 
390(325311): 2(0.266695), 
391(385787): 0(0.032356), 2(0.021653), 
392(113263): 2(0.051460), 
393(525468): 2(0.035849), 
394(390478): 2(0.146889), 
395(411451): 2(0.021858), 
396(482342): 2(0.028614), 
397(524079): 2(0.169805), 
398(516703): 2(0.036651), 
399(313264): 2(0.147293), 
400(496342): 2(0.087004), 
401(481246): 2(0.036574), 
402(42715): 2(0.043445), 
403(81456): 2(0.043601), 
404(252410): 2(0.028703), 
405(213540): 2(0.036144), 
406(4956): 2(0.050828), 
407(154278): 4(0.034686), 
408(46970): 
409(501468): 4(0.049201), 
410(155956): 4(0.027916), 
411(305316): 4(0.027924), 
412(267040): 4(0.027910), 
413(349352): 
414(204846): 2(0.040735), 
415(125408): 2(0.035836), 
416(94597): 2(0.051443), 
417(139929): 2(0.049686), 
418(257970): 2(0.035109), 
419(508587): 2(0.028615), 
420(155751): 2(0.027595), 
421(362650): 
422(192013): 
423(322221): 0(0.058578), 
424(362656): 1(0.034576), 
425(220971): 1(0.251295), 
426(27675): 
427(7163): 
428(85996): 1(0.030319), 
429(46615): 1(0.090586), 
430(112865): 1(0.195095), 
431(254674): 3(0.026840), 
432(109953): 
433(356356): 3(0.096012), 
434(379302): 3(0.081937), 
435(404236): 3(0.109483), 
436(513580): 
437(403877): 3(0.186340), 
438(470476): 6(0.117005), 
439(520277): 3(0.034820), 6(0.019659), 
440(46863): 
441(295952): 6(0.018342), 
442(160255): 4(0.035125), 
443(124523): 0(0.030974), 4(0.039262), 7(0.030932), 
444(238195): 4(0.057276), 
445(446744): 4(0.020942), 
446(493316): 4(0.027709), 
447(45163): 4(0.034483), 
448(324439): 3(0.068128), 
449(407783): 3(0.019921), 
450(104259): 3(0.075419), 
451(479756): 3(0.020233), 
452(286903): 3(0.068493), 
453(438927): 3(0.026883), 
454(192989): 3(0.027072), 
455(365466): 3(0.020384), 
456(354551): 3(0.033017), 
457(93137): 3(0.019651), 
458(263677): 3(0.033565), 
459(158715): 4(0.021274), 
460(79698): 4(0.107916), 
461(34738): 4(0.063844), 
462(205194): 4(0.071640), 
463(158716): 1(0.022051), 
464(478199): 1(0.079045), 
465(9810): 
466(530191): 0(0.033812), 1(0.028746), 
467(430623): 1(0.016869), 
468(484409): 
469(358518): 1(0.022412), 
470(337844): 4(0.062858), 
471(320508): 7(0.034278), 
472(95986): 7(0.019888), 
473(33388): 7(0.020002), 
474(393370): 7(0.027104), 
475(484406): 0(0.039362), 
476(120664): 
477(227223): 
478(137142): 0(0.018193), 2(0.015243), 
479(307315): 0(0.073926), 
480(322): 0(0.060342), 
481(16561): 0(0.059791), 
482(418617): 
483(142738): 0(0.168332), 
484(176684): 
485(501965): 
486(124531): 
487(528828): 3(0.026888), 
488(321212): 3(0.033857), 
489(213271): 3(0.033833), 
490(279678): 3(0.033800), 
491(173131): 3(0.103002), 
492(176689): 7(0.020775), 
493(355900): 7(0.076286), 
494(524756): 7(0.090264), 
495(220135): 7(0.069313), 
496(268140): 
497(493358): 2(0.079454), 
498(268147): 6(0.089316), 
499(287684): 6(0.020780), 7(0.020334), 
500(42173): 
501(481620): 6(0.024826), 
502(506504): 6(0.238684), 
503(367518): 6(0.020738), 
504(475939): 6(0.034360), 
505(132660): 7(0.025289), 
506(272590): 4(0.038803), 6(0.114484), 
507(404691): 6(0.027798), 
508(312807): 6(0.020739), 
509(480424): 
510(540763): 
511(265858): 6(0.069288), 
512(352521): 0(0.017794), 
513(362370): 
514(147589): 0(0.019368), 
515(1441): 0(0.210509), 
516(13058): 6(0.027078), 
517(324395): 6(0.020307), 
518(129426): 6(0.034225), 
519(134850): 6(0.034223), 
520(410332): 6(0.083428), 
521(237527): 7(0.026438), 
522(267775): 7(0.020406), 
523(181127): 
524(374954): 7(0.034193), 
525(3911): 7(0.025947), 
526(395232): 3(0.026729), 
527(289678): 3(0.032747), 
528(233449): 3(0.026731), 
529(451049): 3(0.089305), 
530(139519): 3(0.026734), 
531(543479): 
532(469248): 4(0.026696), 
533(291287): 0(0.032807), 
534(427399): 0(0.019247), 
535(220847): 0(0.032640), 
536(19562): 0(0.025958), 
537(448392): 0(0.046332), 
538(198841): 0(0.032810), 
539(94541): 1(0.023531), 
540(78003): 1(0.032768), 
541(418900): 1(0.029081), 
542(249116): 1(0.460276), 
543(235168): 1(0.017168), 
544(462163): 7(0.019995), 
545(255224): 7(0.019987), 
546(123507): 7(0.040363), 
547(222059): 7(0.031338), 
548(459290): 6(0.019971), 
549(380187): 
550(296160): 6(0.053050), 
551(342379): 6(0.173675), 
552(364715): 
553(38181): 
554(252635): 3(0.067418), 
555(174254): 3(0.027261), 7(0.253364), 
556(482327): 3(0.076545), 7(0.033145), 
557(69381): 3(0.095934), 
558(178657): 3(0.040363), 
559(235063): 
560(396734): 3(0.013496), 
561(130447): 
562(353820): 3(0.200001), 
563(387583): 3(0.027367), 
564(232890): 3(0.039876), 
565(143175): 3(0.019562), 
566(312394): 3(0.018009), 7(0.022411), 
567(474461): 3(0.043062), 
568(45497): 6(0.040716), 7(0.014024), 
569(471982): 3(0.033270), 
570(75674): 6(0.040567), 
571(175081): 1(0.054467), 
572(396012): 1(0.029011), 
573(174899): 1(0.079122), 
574(121780): 1(0.060384), 
575(242524): 1(0.030244), 
576(412963): 1(0.048223), 
577(491360): 1(0.042131), 
578(24601): 1(0.158928), 
579(491434): 1(0.023813), 
580(100823): 1(0.036046), 
581(40964): 0(0.060903), 
582(76884): 0(0.301701), 
583(441404): 0(0.474967), 
584(170649): 0(0.088156), 
585(279410): 0(0.033391), 
586(94423): 0(0.033639), 
587(71291): 0(0.033672), 
588(51979): 0(0.060763), 
589(38966): 0(0.040247), 
590(146802): 0(0.259916), 
591(467805): 4(0.042770), 
592(393374): 2(0.016326), 4(0.047571), 
593(164995): 2(0.023842), 4(0.054769), 
594(205394): 2(0.077030), 4(0.067436), 
595(423511): 4(0.021320), 
596(300322): 2(0.246089), 4(0.639036), 
597(447415): 4(0.028439), 
598(460855): 
599(419844): 
600(460850): 4(0.020982), 
601(11328): 4(0.136566), 
602(361081): 3(0.019926), 4(0.020986), 
603(419457): 4(0.092931), 
604(416163): 7(0.025123), 
605(11380): 6(0.015465), 7(0.031790), 
606(46348): 6(0.046069), 
607(191522): 7(0.034283), 
608(299547): 7(0.047732), 
609(540969): 6(0.014821), 7(0.024554), 
610(23502): 4(0.028339), 
611(22100): 4(0.099990), 
612(348229): 4(0.028218), 
613(85868): 4(0.078737), 
614(327082): 4(0.064295), 
615(179856): 7(0.048688), 
616(454734): 7(0.027663), 
617(58995): 7(0.034663), 
618(482934): 7(0.027719), 
619(149838): 7(0.041651), 
620(308730): 7(0.055828), 
621(125303): 7(0.069848), 
622(295901): 7(0.069831), 
623(413102): 6(0.013802), 
624(310425): 6(0.111639), 
625(355108): 6(0.174683), 
626(351138): 0(0.052797), 
627(457268): 0(0.026507), 
628(297982): 
629(127266): 0(0.019756), 
630(472241): 0(0.046691), 
631(436400): 0(0.026507), 
632(211954): 0(0.066777), 
633(164858): 0(0.046016), 
634(39045): 0(0.025806), 
635(497760): 4(0.021184), 7(0.013881), 
636(403007): 7(0.147489), 
637(322277): 4(0.122366), 
638(232063): 4(0.034433), 
639(323030): 7(0.112323), 
640(326482): 4(0.107386), 
641(296883): 2(0.028825), 
642(56190): 2(0.050748), 
643(438261): 2(0.050648), 
644(314066): 2(0.065456), 
645(469386): 2(0.057939), 
646(384778): 
647(71121): 
648(161619): 1(0.023975), 
649(191200): 1(0.140254), 
650(100750): 1(0.090834), 
651(518951): 1(0.017177), 
652(290736): 4(0.028702), 
653(308717): 4(0.071826), 
654(80794): 4(0.071845), 
655(4781): 4(0.261319), 
656(271744): 4(0.283412), 
657(193174): 
658(371034): 0(0.135201), 2(0.153324), 
659(193177): 2(0.014560), 
660(414891): 2(0.124267), 
661(106613): 2(0.459021), 
662(192883): 
663(526218): 1(0.145886), 
664(357999): 3(0.019997), 
665(341977): 3(0.047415), 
666(175829): 3(0.033627), 
667(525898): 3(0.053027), 
668(446243): 1(0.029633), 
669(191029): 1(0.066903), 
670(369691): 1(0.165026), 
671(470190): 1(0.023428), 
672(430570): 1(0.028513), 
673(324010): 1(0.017134), 
674(446248): 
675(312527): 2(0.619473), 
676(356647): 0(0.019754), 
677(515980): 0(0.141937), 
678(10173): 0(0.026447), 
679(367984): 0(0.080360), 
680(355596): 1(0.021994), 
681(101338): 
682(69808): 
683(58374): 1(0.034551), 
684(207955): 
685(497494): 2(0.029058), 
686(391311): 2(0.355197), 
687(414534): 2(0.072404), 4(0.049260), 
688(106120): 2(0.057737), 7(0.028289), 
689(164541): 2(0.065000), 
690(283656): 6(0.027950), 
691(446194): 6(0.239170), 
692(334611): 6(0.147059), 
693(171506): 6(0.104493), 
694(56909): 6(0.295910), 
695(365441): 6(0.013844), 
696(505185): 6(0.174502), 
697(8546): 6(0.020132), 
698(115476): 6(0.062390), 
699(490032): 6(0.034262), 
700(121551): 6(0.027218), 
701(92266): 1(0.036111), 
702(474065): 1(0.024186), 
703(518212): 1(0.035878), 
704(42711): 1(0.042238), 
705(442787): 1(0.035878), 
706(96401): 1(0.047388), 
707(92265): 
708(390653): 0(0.025041), 
709(29164): 0(0.018044), 
710(119046): 4(0.028446), 
711(401944): 4(0.093242), 
712(131273): 4(0.049611), 
713(470369): 4(0.202658), 
714(255850): 2(0.104944), 4(0.039390), 
715(257658): 6(0.024392), 
716(32085): 7(0.218299), 
717(158630): 6(0.111234), 
718(488124): 6(0.026803), 
719(76169): 6(0.018921), 7(0.028841), 
720(70445): 6(0.020085), 
721(221379): 1(0.017706), 
722(380800): 1(0.059401), 
723(453649): 1(0.028633), 
724(50069): 1(0.095763), 
725(258493): 1(0.023676), 
726(397685): 1(0.047399), 
727(25475): 1(0.054345), 
728(497856): 1(0.047889), 
729(355521): 1(0.023675), 
730(145438): 7(0.098113), 
731(120554): 7(0.055674), 
732(257692): 3(0.018845), 7(0.036086), 
733(118746): 7(0.020613), 
734(120935): 2(0.024472), 7(0.024503), 
735(273500): 7(0.020880), 
736(454700): 7(0.105396), 
737(76257): 3(0.028069), 7(0.026600), 
738(365120): 7(0.034902), 
739(537515): 7(0.069826), 
740(247861): 7(0.033937), 
741(288290): 7(0.034723), 
742(60957): 7(0.034893), 
743(212632): 7(0.020872), 
744(454654): 7(0.041548), 
745(66503): 7(0.020488), 
746(115834): 0(0.328944), 
747(527799): 7(0.292331), 
748(395374): 7(0.041715), 
749(151690): 3(0.028925), 6(0.046330), 
750(487875): 3(0.014970), 7(0.025898), 
751(174354): 
752(228702): 6(0.089533), 
753(305999): 0(0.033224), 
754(74263): 0(0.039918), 
755(162641): 0(0.033232), 
756(143377): 0(0.065968), 
757(231257): 0(0.080792), 
758(368928): 0(0.033235), 
759(189106): 1(0.030153), 
760(334302): 1(0.042007), 
761(246814): 1(0.054362), 
762(423204): 1(0.084895), 
763(86206): 1(0.084804), 
764(212664): 1(0.066593), 
765(55623): 1(0.036315), 
766(287888): 1(0.060770), 
767(379375): 1(0.030037), 
768(489426): 1(0.165256), 
769(427894): 1(0.122218), 
770(405107): 1(0.042390), 
771(95380): 1(0.110054), 
772(52817): 3(0.026292), 
773(84227): 
774(415325): 3(0.089066), 
775(254766): 3(0.039848), 
776(43788): 3(0.017892), 
777(389076): 2(0.020378), 
778(111154): 2(0.026401), 
779(515667): 6(0.020786), 
780(332835): 2(0.027498), 
781(111543): 2(0.057926), 
782(102598): 2(0.087293), 
783(34859): 2(0.028883), 
784(84673): 2(0.028888), 
785(276701): 2(0.036400), 
786(444017): 2(0.021592), 
787(297190): 2(0.028965), 
788(124167): 2(0.072694), 
789(153530): 2(0.043475), 
790(111541): 7(0.034646), 
791(507134): 7(0.027155), 
792(485755): 7(0.032393), 
793(149925): 7(0.026555), 
794(63731): 
795(316279): 7(0.055467), 
796(163042): 0(0.019708), 3(0.079968), 
797(415627): 7(0.126240), 
798(111547): 2(0.036191), 
799(166788): 2(0.058235), 
800(486722): 2(0.016146), 4(0.033413), 
801(529835): 2(0.228756), 
802(225161): 2(0.094414), 
803(149927): 4(0.020868), 
804(33745): 4(0.034861), 
805(58194): 4(0.056619), 
806(375916): 4(0.035330), 
807(192226): 7(0.013574), 
808(217289): 7(0.112117), 
809(312388): 7(0.041097), 
810(60906): 6(0.034266), 
811(340321): 6(0.027224), 
812(364503): 6(0.069293), 
813(149614): 6(0.097549), 
814(485528): 6(0.034049), 
815(491025): 6(0.027392), 
816(192220): 
817(272286): 0(0.084035), 
818(428335): 1(0.047748), 
819(421511): 1(0.023266), 
820(340638): 1(0.048493), 
821(472212): 1(0.097395), 
822(359022): 1(0.030289), 
823(350631): 1(0.023268), 
824(25827): 
825(5072): 1(0.023269), 
826(110925): 1(0.023259), 
827(466861): 0(0.018238), 
828(510785): 0(0.066526), 
829(213859): 1(0.014971), 
830(189732): 0(0.128026), 
831(217042): 1(0.017370), 
832(397616): 1(0.262025), 
833(537717): 0(0.025488), 
834(195410): 1(0.250888), 
835(504518): 1(0.108583), 2(0.035965), 
836(310662): 2(0.028950), 
837(244211): 1(0.013813), 
838(63810): 
839(263449): 
840(215861): 1(0.021795), 
841(203311): 1(0.072528), 
842(491196): 2(0.036194), 
843(116148): 
844(388539): 1(0.053781), 
845(453440): 2(0.057445), 
846(432464): 
847(239408): 1(0.029966), 
848(477453): 2(0.036197), 
849(142817): 1(0.016799), 
850(334598): 2(0.058079), 
851(147906): 
852(54861): 1(0.047379), 
853(534405): 1(0.016946), 
854(521279): 1(0.023055), 
855(320720): 1(0.041483), 
856(470989): 0(0.077467), 1(0.031643), 
857(508447): 
858(329976): 1(0.036124), 
859(75531): 7(0.055376), 
860(56498): 7(0.041114), 
861(358243): 4(0.014039), 7(0.013412), 
862(47770): 7(0.105062), 
863(245574): 7(0.055766), 
864(541941): 7(0.020602), 
865(185631): 7(0.055985), 
866(356257): 7(0.048901), 
867(368296): 7(0.020627), 
868(75534): 0(0.030169), 
869(374005): 
870(260070): 
871(383473): 0(0.140864), 
872(29778): 0(0.019789), 
873(18774): 
874(214533): 4(0.042034), 
875(464293): 4(0.028084), 
876(5262): 4(0.056482), 
877(415291): 
878(415486): 4(0.049777), 
879(47229): 
880(261109): 4(0.049574), 
881(150165): 
882(249735): 
883(301086): 7(0.112206), 
884(303902): 4(0.028767), 
885(133539): 4(0.064414), 
886(448098): 4(0.159238), 
887(524100): 4(0.254253), 
888(348294): 2(0.014433), 
889(611): 2(0.123437), 
890(342659): 2(0.114109), 
891(267502): 1(0.023612), 
892(211796): 1(0.054193), 
893(217575): 1(0.023505), 
894(327846): 1(0.035642), 
895(433490): 1(0.048213), 
896(383769): 
897(300664): 2(0.034486), 
898(10764): 3(0.397056), 
899(297459): 6(0.017784), 
900(464597): 7(0.186298), 
901(58175): 7(0.321833), 
902(511420): 7(0.042223), 
903(453500): 7(0.156271), 
904(385832): 7(0.091821), 
905(54858): 7(0.014107), 
906(278248): 7(0.042282), 
907(147831): 7(0.034943), 
908(518672): 7(0.027958), 
909(488349): 7(0.027757), 
910(254051): 7(0.042224), 
911(416410): 7(0.035157), 
912(284115): 7(0.063041), 
913(421631): 7(0.042563), 
914(376868): 7(0.206934), 
915(395525): 7(0.035537), 
916(57417): 7(0.035089), 
917(138918): 7(0.063400), 
918(451620): 7(0.042447), 
919(382219): 7(0.380019), 
920(400015): 7(0.055897), 
921(465037): 7(0.034875), 
922(419023): 7(0.035085), 
923(484571): 7(0.041951), 
924(306555): 7(0.042190), 
925(383764): 6(0.069582), 
926(197012): 6(0.034749), 
927(208211): 6(0.048496), 
928(402324): 6(0.048337), 
929(254463): 6(0.048234), 
930(333154): 6(0.027782), 
931(171162): 6(0.027710), 
932(541080): 6(0.027786), 
933(131406): 6(0.054902), 
934(419485): 6(0.153617), 
935(467890): 6(0.020481), 
936(81815): 6(0.020729), 
937(73191): 6(0.118891), 
938(100551): 6(0.034435), 
939(121073): 6(0.069245), 
940(474120): 6(0.062579), 
941(80206): 6(0.041094), 
942(32633): 6(0.020725), 
943(314661): 6(0.020728), 
944(166774): 6(0.020572), 
945(384348): 6(0.125616), 
946(168671): 6(0.034337), 
947(128607): 6(0.034342), 
948(164372): 6(0.041615), 
949(490219): 6(0.020822), 
950(370719): 4(0.013828), 6(0.013585), 
951(489865): 
952(417341): 6(0.076427), 
953(203921): 
954(443374): 6(0.048143), 
955(365728): 6(0.039879), 
956(73157): 6(0.027376), 
957(258234): 
958(354640): 
959(64460): 3(0.067275), 
960(347206): 3(0.019166), 7(0.026305), 
961(379530): 1(0.022403), 
962(258230): 0(0.020297), 
963(177968): 0(0.224201), 
